article_id,expr_type,value,offset
1053.txt,dayofweek,Wednesday,694
1053.txt,part-relative-year/month/week,here two years,876
1735.txt,year,2005,87
1735.txt,year,2006,1402
1735.txt,relative-year/month/week,Next year,1193
1735.txt,part-relative-year/month/week,covet this year,280
1735.txt,part-relative-year/month/week,than last year,381
1735.txt,part-relative-year/month/week,What this year,624
1721.txt,year,2003,1866
1721.txt,year,2006,2238
1721.txt,month-year,January 2005,1924
1721.txt,relative-year/month/week,Last year,2069
1721.txt,part-relative-year/month/week,3bn last year,493
1721.txt,part-relative-year/month/week,later this year,2307
1047.txt,dayofweek,Monday,3087
1047.txt,month-year,December 2004,3067
1047.txt,part-relative-year/month/week,000 a year,339
1047.txt,part-relative-year/month/week,than a year,562
1047.txt,part-relative-year/month/week,Mexico last year,2715
1047.txt,part-relative-year/month/week,to last year,2945
1047.txt,part-relative-year/month/week,with the year,3152
1709.txt,month,November,1804
1709.txt,month-year,June 2004,537
289.txt,month,April,723
289.txt,month,April,818
289.txt,decade,the 1970s,967
289.txt,part-relative-year/month/week,over the weekend,386
504.txt,year,1962,399
504.txt,year,2002,694
504.txt,year,2004,1370
504.txt,month-year,November 1998,584
504.txt,part-relative-year/month/week,than 60 years,829
1090.txt,month,March,746
1090.txt,dayofweek,Tuesday,1224
1090.txt,year,2008,2283
1090.txt,part-relative-year/month/week,at next month,90
1090.txt,part-relative-year/month/week,at last weekend,811
1090.txt,part-relative-year/month/week,him three years,1409
262.txt,year,1998,1258
262.txt,year,2002,1314
262.txt,year,1996,1352
262.txt,year,1998,1361
262.txt,part-of-decade,the late 1990s,1239
262.txt,part-relative-year/month/week,the past year,120
262.txt,part-relative-year/month/week,2bn a year,271
276.txt,month,November,1547
276.txt,year,2005,2005
276.txt,year,2006,2104
276.txt,year,2000,2545
276.txt,month-year,July 2004,1023
276.txt,part-relative-year/month/week,cigarettes a year,822
276.txt,part-relative-year/month/week,July last year,1817
276.txt,part-relative-year/month/week,profits last year,2498
510.txt,part-relative-year/month/week,its first weekend,141
510.txt,part-relative-year/month/week,than last year,575
510.txt,part-relative-year/month/week,over the weekend,1265
510.txt,part-relative-year/month/week,UK last weekend,1436
538.txt,day-month,20 December,562
538.txt,part-relative-year/month/week,again next year,67
538.txt,part-relative-year/month/week,earlier this month,192
1537.txt,month,November,323
1251.txt,month,November,807
1251.txt,month,June,1805
1251.txt,year,1965,1056
1251.txt,year,1999,2094
1251.txt,year,2005,3642
1251.txt,year,1977,4016
1251.txt,year,1985,4228
1251.txt,relative-year/month/week,A year,0
1251.txt,part-relative-year/month/week,during a year,69
1251.txt,part-relative-year/month/week,quite a year,256
1251.txt,part-relative-year/month/week,for 29 years,607
1251.txt,part-relative-year/month/week,the second year,685
1251.txt,part-relative-year/month/week,finsihed the year,913
1251.txt,part-relative-year/month/week,excellent 12 months,1257
1251.txt,part-relative-year/month/week,for second year,2659
909.txt,month,June,1383
909.txt,dayofweek,Thursday,2770
909.txt,part-relative-year/month/week,just nine months,1287
1523.txt,relative-year/month/week,A year,836
1523.txt,part-relative-year/month/week,him a year,575
921.txt,dayofweek,Thursday,1595
921.txt,dayofweek,Sun,1606
935.txt,relative-year/month/week,election year,1689
935.txt,part-relative-year/month/week,far this year,914
935.txt,part-relative-year/month/week,of this year,1674
1279.txt,month,February,440
1279.txt,month,August,2661
1279.txt,month,March,2845
1279.txt,dayofweek,Wednesday,547
1279.txt,year,2000,659
1279.txt,part-relative-year/month/week,earlier this month,940
1292.txt,dayofweek,Wednesday,168
706.txt,year,2002,1109
706.txt,year,2004,1131
706.txt,year,2007,1235
706.txt,part-relative-year/month/week,past five years,1015
712.txt,month,October,1161
712.txt,year,1998,1944
712.txt,year,2003,2002
1286.txt,dayofweek,Sunday,165
1286.txt,dayofweek,Friday,1159
1286.txt,part-relative-year/month/week,Blacks last year,392
1286.txt,part-relative-year/month/week,Gloucester last weekend,561
1443.txt,month,June,590
1443.txt,dayofweek,Saturday,217
1443.txt,year,1948,1558
1443.txt,day-month,12 March,155
1443.txt,part-relative-year/month/week,display last weekend,772
1443.txt,part-relative-year/month/week,in this year,1478
29.txt,dayofweek,Tuesday,1547
29.txt,year,2002,1030
29.txt,part-relative-year/month/week,to 85 years,1813
29.txt,part-relative-year/month/week,bankruptcy last year,2013
1325.txt,month,October,389
1325.txt,part-relative-year/month/week,Madrid last month,1091
869.txt,year,2001,329
869.txt,year,2001,2356
869.txt,day-month,11 September,315
1331.txt,month,July,211
1331.txt,month,January,285
1331.txt,year,2004,250
1331.txt,part-relative-year/month/week,just five months,141
1331.txt,part-relative-year/month/week,Everton last month,613
1457.txt,month,March,4180
1457.txt,part-relative-year/month/week,another Olympic year,55
1457.txt,part-relative-year/month/week,2004 another year,293
1457.txt,part-relative-year/month/week,for 80 years,1338
1457.txt,part-relative-year/month/week,Athens this year,1832
1457.txt,part-relative-year/month/week,enjoyed this year,4092
15.txt,month,September,725
15.txt,dayofweek,Monday,572
15.txt,dayofweek,Friday,649
15.txt,dayofweek,Monday,906
15.txt,year,1800,560
15.txt,relative-year/month/week,this year,795
1319.txt,year,2007,1075
855.txt,year,1997,874
855.txt,year,1997,1793
855.txt,year,1997,2516
855.txt,year,1997,2772
855.txt,year,1997,2897
699.txt,dayofweek,Friday,453
699.txt,dayofweek,Saturday,485
699.txt,day-month,19 November,794
699.txt,part-relative-year/month/week,its 11th year,1231
841.txt,month,November,1165
841.txt,year,2001,743
841.txt,year,2001,1876
841.txt,year,2001,2122
841.txt,year,2001,2245
841.txt,relative-year/month/week,Four years,888
114.txt,month,March,198
114.txt,month,November,303
114.txt,month,November,680
114.txt,dayofweek,Wednesday,1072
114.txt,month-year,December 2004,320
114.txt,month-year,August 2004,639
114.txt,month-year,May 2004,987
114.txt,part-relative-year/month/week,in full year,124
114.txt,part-relative-year/month/week,for the year,182
114.txt,part-relative-year/month/week,the previous year,243
114.txt,part-relative-year/month/week,its full year,514
114.txt,part-relative-year/month/week,launched four years,778
672.txt,year,1994,790
672.txt,year,2001,2435
672.txt,day-month,27 February,3014
672.txt,relative-year/month/week,This year,2960
672.txt,part-relative-year/month/week,at this year,86
666.txt,month,May,688
666.txt,dayofweek,Monday,138
100.txt,dayofweek,Wednesday,311
128.txt,dayofweek,Thursday,1000
128.txt,year,2002,2049
128.txt,part-relative-year/month/week,died last year,1386
128.txt,part-relative-year/month/week,protection last year,2138
128.txt,part-relative-year/month/week,trial this month,2250
882.txt,dayofweek,Thursday,2419
882.txt,day-month,11 September,2198
1127.txt,month,May,171
1127.txt,year,2001,337
1127.txt,part-relative-year/month/week,33 next month,645
1641.txt,month,March,1552
1641.txt,month-year,October 2004,1562
1641.txt,part-relative-year/month/week,came a year,355
1641.txt,part-relative-year/month/week,least seven months,758
1655.txt,month,May,262
1655.txt,year,2005,1052
1655.txt,year,2006,5196
1655.txt,year,2006,5908
1655.txt,part-relative-year/month/week,least 18 months,1082
1655.txt,part-relative-year/month/week,taking two years,1347
